Metrica;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25
Dívida Bruta;217596;219096;220661;195565;197092;198700;200221;203017;205610;260788;218941;214621;290367
Debêntures;165898;167693;169579;144826;146661;148546;150382;152542;154541;128946;130808;132358;134176
Citi - 4131;0;0;0;0;0;0;0;0;0;80149;81300;82263;83393
Ações PM3;10958;10250;9524;8781;8030;7270;6485;6568;6647;6728;6833;0;0
M&A Fiap;40740;41153;41558;41958;42401;42884;43354;43907;44422;44964;0;0;0
M&A Startse;0;0;0;0;0;0;0;0;0;0;0;0;72798
Caixa e Disponibilidades;-141715;-94544;-108860;-100248;-112881;-123440;-125110;-139494;-150516;-215035;-188319;-179083;-94809
Dívida Líquida;75751;124531;111911;95449;84138;75807;75111;63523;55094;45752;30622;35539;195558
Dívida Líquida/EBITDA;0,37;0,59;0,52;0,45;0,41;0,37;0,36;0,31;0,27;0,22;0,15;0,17;0,98
EBITDA LTM;210829;210188;214667;212272;206576;206338;205799;204458;206887;206595;203401;204825;199558
